	i4x-IITBombayX-CS101_1x-video-2099d86d71e7472ba51de5032c5fd8fd	0
	i4x-IITBombayX-CS101_1x-video-20b46f47de694bb68711be1806ed60f9	46
	i4x-IITBombayX-CS101_1x-video-2c6ffa5792c84d4587fc9ecc4c372d74	29312
	i4x-IITBombayX-CS101_1x-video-384d076067a14df9b1c3b63325fef0ba	2
	i4x-IITBombayX-CS101_1x-video-38958b14718e4e03aa3282e0156cc52b	0
	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	48976
	i4x-IITBombayX-CS101_1x-video-5957b78252cc43cfaddef910cf506dd5	6
	i4x-IITBombayX-CS101_1x-video-62598bbcc58949dabcd68f79f5b3652c	991
	i4x-IITBombayX-CS101_1x-video-62fdb447b6144befb5bd1f66f8da766d	0
	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	84959
	i4x-IITBombayX-CS101_1x-video-666ac9647c7b4de4802d4310585767ec	58
	i4x-IITBombayX-CS101_1x-video-67d60a96857549318894cc744c7bae45	9
	i4x-IITBombayX-CS101_1x-video-688429f0036648f6852fcd2197c30195	0
	i4x-IITBombayX-CS101_1x-video-7df8e247ed0a4c198f6e14e3a773c2aa	0
	i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e	14574
	i4x-IITBombayX-CS101_1x-video-826444194f1542d482c0726f9d080ed3	76567
	i4x-IITBombayX-CS101_1x-video-86a672ad7f0a43d4919fc182d0dea88b	7762
	i4x-IITBombayX-CS101_1x-video-9aa09a2f71a840b4ab4045fdc6286b55	0
	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	10217
	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	29981
	i4x-IITBombayX-CS101_1x-video-a67819e6acf2456c9059e2e3dbb85555	0
	i4x-IITBombayX-CS101_1x-video-ac88b4fd7d1c4dc4aab8a3a912d6029d	0
	i4x-IITBombayX-CS101_1x-video-adf16f0ca0524a14a9ed2ba4663289f7	830
	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	20219
	i4x-IITBombayX-CS101_1x-video-bfaf4276d045462d8c0c22e8309f858f	26
	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	74498
	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	25232
