	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	347.93668
	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	558.0
	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	740.3401
	i4x-IITBombayX-CS101_1x-video-adf16f0ca0524a14a9ed2ba4663289f7	827.3482
	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	505.656
	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	713.6258
	i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244	889.7225
	i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83	749.45996
-TK	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	400.23233
-dagger-	i4x-IITBombayX-CS101_1x-video-62fdb447b6144befb5bd1f66f8da766d	776.6856
-dagger-	i4x-IITBombayX-CS101_1x-video-d8201d3718a34b3da9986374150dd966	587.10156
02skyBlue	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	585.7993
02skyBlue	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	740.602
123123somi	i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83	276.0
12AK	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	690.8126
143saf	i4x-IITBombayX-CS101_1x-video-2e83efb1ad5c4ba39a075eca242f6d52	686.95746
143saf	i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe	398.409
143saf	i4x-IITBombayX-CS101_1x-video-7f4a5b8ee172412f8fda3d4284ff14af	546.5276
143saf	i4x-IITBombayX-CS101_1x-video-9746c3497d77460195c74a8e0588d589	721.55914
143saf	i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188	861.0093
143saf	i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b	797.80884
1JobHunt	i4x-IITBombayX-CS101_1x-video-261f1ca457224477984a69e5e0f9ac4c	533.8998
1JobHunt	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	557.52356
1sko1	i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e	675.9913
23295salma	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	104.36999
