i4x-IITBombayX-CS101_1x-video-bfaf4276d045462d8c0c22e8309f858f 2467.3418556806528 23.954775297870416 9.776699029126213 103  75354.7 368  443338 403
i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa 55615.45611853749 133.37039836579734 9.342925659472423 417  267450 1320  1685574 1475
i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188 8243.639140434563 132.96192161991232 7.306451612903226 62  36319.9 302  494845 330
i4x-IITBombayX-CS101_1x-video-d8201d3718a34b3da9986374150dd966 6631.543509869922 103.61786734171753 6.203125 64  25682.5 344  329676 370
i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d 154606.91919781425 370.7599980762932 6.930455635491607 417  135019 1590  2084912 1746
i4x-IITBombayX-CS101_1x-video-e22ca4a334f945b1904881db31172044 1407.3499989835934 20.69632351446461 5.397058823529412 68  37150.7 305  536723 335
i4x-IITBombayX-CS101_1x-video-eb58dba5325a4f2c85e228d7c4acb118 4385.180080237888 50.99046604927777 13.709302325581396 86  58427.3 369  573493 407
i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244 984.2735583911356 6.605862807994199 10.221476510067115 149  93729 486  1049368 562
i4x-IITBombayX-CS101_1x-video-efb162c5e4aa40c48049eac47dd56a8b -1367.0948209444948 -26.805780802833233 3.764705882352941 51  19485.6 360  420928 401
i4x-IITBombayX-CS101_1x-video-eff67c7602e34209b5dcc1e46f8588d0 2397.535984741809 99.89733269757538 13.291666666666666 24  16953.1 193  381887 211
i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b 13218.754799438426 231.90797893751625 7.421052631578948 57  25310.2 294  487343 324
i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70 31285.127080172548 110.94016695096649 6.092198581560283 282  73861 1368  1405356 1487
i4x-IITBombayX-CS101_1x-video-f6b932aa49774e9cb54cfe8177fcffa8 -12741.73629183464 -131.35810610138805 9.288659793814434 97  81564.9 377  561344 417
i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83 -60.68882279481145 -0.2518208414722467 6.468879668049793 241  145898 783  1535964 879
